Student_ID,Course_ID
382,1
382,2
382,6
382,7
382,12
1,1
2,2
2,6
2,7
2,10
2,12
3,1
3,2
3,6
3,7
3,10
3,12
4,1
4,2
4,6
4,7
4,10
5,1
5,2
5,6
5,7
6,1
6,2
6,6
6,7
6,10
6,12
7,1
8,1
8,2
8,6
8,7
8,10
8,12
9,1
9,2
9,6
9,7
9,10
9,12
10,1
10,2
10,6
10,7
10,10
10,12
11,1
11,2
11,6
11,7
11,10
11,12
12,1
12,2
12,7
12,10
12,12
13,1
13,2
13,7
13,10
13,12
14,1
14,2
14,6
14,7
14,10
14,12
15,1
15,2
15,6
15,7
15,10
16,1
16,2
16,6
16,7
16,10
16,12
17,1
17,2
17,6
17,7
17,10
17,12
18,1
18,2
18,4
18,6
18,7
18,12
19,1
19,2
19,6
19,7
19,10
19,12
20,1
20,2
20,6
20,7
20,10
20,12
21,1
21,2
21,6
21,7
21,10
22,1
22,2
22,4
22,7
22,10
22,12
23,1
23,2
23,6
23,7
23,10
23,12
24,1
24,2
24,6
24,7
24,10
24,12
25,1
25,2
25,6
25,7
25,10
25,12
26,1
26,2
26,7
26,10
26,12
27,1
27,2
27,6
27,7
27,10
27,12
28,1
29,1
29,2
29,6
29,7
29,10
29,12
30,1
30,2
30,6
30,7
30,10
30,12
31,1
31,2
31,6
31,7
31,10
31,12
32,1
32,2
32,6
32,7
32,10
32,12
33,1
33,2
33,6
33,7
33,10
33,12
34,1
34,2
34,6
34,7
34,10
34,12
35,1
35,2
35,6
35,7
35,10
35,12
36,1
36,10
37,1
37,2
37,6
37,7
37,12
38,1
38,2
38,6
38,7
38,10
38,12
39,1
39,2
39,6
39,7
39,10
39,12
40,1
40,2
40,6
40,7
40,10
40,12
41,1
41,2
41,6
41,7
41,10
41,12
42,1
42,2
42,6
42,7
42,10
42,12
43,1
43,2
43,6
43,7
43,10
43,12
44,1
44,2
44,6
44,7
44,12
45,1
45,2
45,6
45,7
45,10
45,12
46,1
46,2
46,6
46,7
46,10
46,12
47,1
47,2
47,6
47,7
47,10
47,12
48,1
48,2
48,6
48,7
48,10
48,12
49,1
49,2
49,6
49,7
49,10
49,12
50,1
50,2
50,6
50,7
50,10
51,1
51,2
51,6
51,7
51,10
51,12
52,1
52,2
52,6
52,7
52,10
52,12
53,1
53,2
53,6
53,7
53,10
53,12
54,1
54,2
54,6
54,7
54,10
54,12
55,1
55,2
55,6
55,7
55,10
55,12
56,1
56,2
56,6
56,7
56,10
56,12
57,1
57,2
57,6
57,7
57,10
57,12
58,1
58,2
58,6
58,7
58,10
58,12
59,1
59,2
59,6
59,7
59,10
59,12
60,1
60,2
60,6
60,7
60,10
60,12
61,1
61,2
61,6
61,7
61,10
61,12
62,1
62,2
62,6
62,7
62,10
62,12
63,1
63,2
63,6
63,7
63,10
63,12
64,1
64,2
64,6
64,7
64,10
64,12
65,1
65,2
65,6
65,7
65,10
65,12
66,1
66,2
66,4
66,6
66,7
66,12
67,1
67,2
67,7
67,10
68,1
68,2
68,6
68,7
68,10
68,12
69,1
69,2
69,6
69,7
69,10
69,12
70,1
70,2
70,6
70,7
70,10
70,12
71,1
71,2
71,6
71,7
71,10
71,12
72,1
72,2
72,6
72,7
72,10
72,12
73,1
73,2
73,6
73,7
73,10
73,12
74,1
74,2
74,6
74,7
74,10
74,12
75,1
75,2
75,6
75,7
75,10
75,12
76,1
76,2
76,6
76,7
76,10
76,12
77,1
77,2
77,6
77,7
77,10
77,12
78,1
78,2
78,6
78,7
78,10
78,12
79,1
79,2
79,6
79,7
79,10
79,12
80,1
80,2
80,6
80,7
80,10
81,1
82,1
82,2
82,6
82,7
82,10
82,12
83,1
83,2
83,6
83,7
83,10
83,12
84,1
84,2
84,6
84,7
84,10
84,12
85,1
85,2
85,6
85,7
85,10
85,12
86,1
86,2
86,6
86,7
86,10
86,12
87,1
87,2
87,6
87,7
87,10
87,12
88,1
88,2
88,6
88,7
88,10
88,12
89,1
89,2
89,7
89,10
89,12
90,1
90,2
90,6
90,7
90,10
90,12
91,1
91,2
91,6
91,7
91,10
91,12
92,1
92,2
92,6
92,7
92,10
92,12
93,1
93,2
93,6
93,7
93,10
93,12
94,1
94,2
94,6
94,7
94,10
94,12
95,1
95,2
95,6
95,7
95,10
95,12
96,1
96,2
96,6
96,7
96,10
96,12
97,1
97,2
97,6
97,7
97,10
97,12
98,1
98,2
98,6
98,7
98,10
98,12
99,1
99,2
99,6
99,7
99,10
99,12
100,1
100,2
100,6
100,7
100,10
100,12
101,1
101,2
101,6
101,7
101,10
101,12
102,1
102,2
102,6
102,7
102,10
102,12
103,1
103,2
103,6
103,7
103,10
103,12
104,1
104,2
104,6
104,7
104,10
104,12
105,1
105,2
105,6
105,7
105,10
105,12
106,1
106,2
106,6
106,7
106,10
106,12
107,10
108,1
108,2
108,6
108,7
108,10
108,12
109,1
109,2
109,6
109,7
109,10
109,12
110,1
110,2
110,6
110,7
110,12
111,1
111,2
111,6
111,7
111,10
111,12
112,1
112,2
112,6
112,7
112,10
112,12
113,1
114,1
114,2
114,6
114,7
114,10
114,12
115,1
115,2
115,6
115,7
115,10
115,12
116,1
116,2
116,6
116,7
116,10
116,12
117,1
117,2
117,6
117,7
117,10
117,12
118,1
118,2
118,6
118,7
118,10
118,12
119,1
119,2
119,6
119,7
119,10
119,12
120,1
120,2
120,6
120,7
120,10
120,12
121,1
121,2
121,6
121,7
121,10
121,12
122,1
122,2
122,6
122,7
122,10
122,12
123,1
123,2
123,6
123,7
123,10
123,12
124,1
124,2
124,6
124,7
124,10
124,12
125,1
125,10
126,1
126,2
126,6
126,7
126,10
126,12
127,1
127,2
127,6
127,7
127,10
127,12
128,1
128,2
128,6
128,7
128,10
128,12
129,1
129,2
129,6
129,7
129,10
129,12
130,1
130,2
130,6
130,7
130,10
130,12
131,1
131,2
131,6
131,7
131,10
131,12
132,1
132,2
132,6
132,7
132,10
132,12
133,1
133,2
133,6
133,7
133,10
133,12
134,1
134,2
134,4
134,7
134,12
135,1
135,2
135,6
135,7
135,10
135,12
136,1
136,2
136,6
136,7
136,10
136,12
137,1
137,2
137,6
137,7
137,10
137,12
138,1
138,2
138,6
138,7
138,10
138,12
139,1
139,2
139,6
139,7
139,10
139,12
140,1
140,2
140,6
140,7
140,10
140,12
141,1
141,2
141,6
141,7
141,10
141,12
142,1
142,2
142,6
142,7
142,10
142,12
143,1
143,2
143,6
143,7
143,10
143,12
144,1
144,2
144,6
144,7
144,10
144,12
145,1
145,2
145,6
145,7
145,10
145,12
146,1
146,2
146,6
146,7
146,10
146,12
147,1
147,2
147,6
147,7
147,10
147,12
148,1
148,2
148,6
148,7
148,10
148,12
149,1
149,2
149,6
149,7
149,10
149,12
150,1
150,2
150,6
150,7
150,10
150,12
151,1
151,2
151,6
151,7
151,10
151,12
152,1
152,2
152,6
152,7
152,10
152,12
153,1
153,2
153,6
153,7
153,12
154,1
155,1
155,2
155,6
155,7
155,10
155,12
156,1
156,2
156,7
156,12
157,1
157,2
157,6
157,7
157,10
157,12
158,1
158,2
158,6
158,7
158,10
158,12
159,1
159,2
159,6
159,7
159,10
159,12
160,1
160,2
160,6
160,7
160,10
160,12
161,1
161,2
161,6
161,7
161,10
161,12
162,1
162,2
162,6
162,7
162,12
163,1
163,2
163,4
163,7
163,10
163,12
164,1
164,2
164,4
164,7
164,10
164,12
165,1
165,2
165,6
165,7
165,10
165,12
166,1
166,2
166,6
166,7
166,10
166,12
167,1
167,2
167,6
167,7
167,10
167,12
168,1
168,2
168,6
168,7
168,12
169,1
169,2
169,6
169,7
169,10
169,12
170,1
170,2
170,6
170,7
170,10
170,12
171,1
171,2
171,6
171,7
171,10
172,1
172,2
172,6
172,7
172,10
172,12
173,1
173,2
173,6
173,7
173,10
173,12
174,1
174,6
174,7
174,10
175,1
175,2
175,6
175,7
175,12
176,1
176,2
176,6
176,7
176,10
176,12
177,1
177,2
177,6
177,7
177,10
177,12
178,1
178,2
178,6
178,7
178,10
178,12
179,1
179,2
179,6
179,7
179,10
179,12
180,1
180,2
180,6
180,7
180,10
180,12
181,1
181,2
181,6
181,7
181,10
181,12
182,1
182,2
182,6
182,7
182,10
182,12
183,1
183,2
183,6
183,7
183,10
183,12
184,1
184,2
184,4
